head,type,tail,meta
Prompt-RAG,opposite of,chunk retrieval method,"{'spans': [[135, 185]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
chunk retrieval method,opposite of,Prompt-RAG,"{'spans': [[135, 185]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
direct retrieval,subclass of,retrieval,"{'spans': [[180, 230]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
direct retrieval,instance of,question types,"{'spans': [[180, 230]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
comprehensive understanding,subclass of,retrieval,"{'spans': [[180, 230]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
relevance,facet of,readability,"{'spans': [[225, 275], [141, 191]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
relevance,has part,readability,"{'spans': [[225, 275]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
relevance,subclass of,readability,"{'spans': [[225, 275]], 'source': 'b0555f08970d4db9aa55104081b0c9ac'}"
Statistical significance,subclass of,scores,"{'spans': [[0, 50]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
Statistical significance,instance of,scores,"{'spans': [[0, 50]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
Statistical significance,facet of,scores,"{'spans': [[0, 50]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
*p < 0.05,instance of,statistical significance,"{'spans': [[39, 89]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
***p < 0.05,instance of,statistical significance,"{'spans': [[39, 89]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
statistical significance,has part,*p < 0.05,"{'spans': [[39, 89]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
functional robustness,subclass of,model,"{'spans': [[78, 128]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
direct retrieval,subclass of,comprehensive understanding,"{'spans': [[78, 128]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
comprehensive understanding,subclass of,direct retrieval,"{'spans': [[78, 128]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
ChatGPT-3,use,direct retrieval,"{'spans': [[117, 167]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
ChatGPT-3,use,chunk retrieval,"{'spans': [[117, 167]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
direct retrieval,instance of,question type,"{'spans': [[117, 167]], 'source': 'd7508457d42a4c369a68505c0be2bf6f'}"
LLM,use,KM domain,"{'spans': [[0, 50]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
LLM,part of,KM domain,"{'spans': [[0, 50]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
LLM,uses,KM domain,"{'spans': [[0, 50]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt-RAG,uses,natural language prompt,"{'spans': [[47, 97]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt-RAG,instance of,natural language prompt-based RAG methodology,"{'spans': [[47, 97]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt-RAG,instance of,natural language prompt,"{'spans': [[47, 97]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt-,instance of,chatbot,"{'spans': [[94, 144]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt,instance of,chatbot,"{'spans': [[94, 144]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt-,use,chatbot,"{'spans': [[94, 144]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
Prompt-RAG,use,KM domain,"{'spans': [[141, 191]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
emergent properties,subclass of,emergent,"{'spans': [[188, 238]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
emergent properties,facet of,emergent,"{'spans': [[188, 238]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
KM domain,instance of,marginal domain,"{'spans': [[188, 238]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
ToC,use,retrieval,"{'spans': [[235, 285]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
ToC,facet of,retrieval,"{'spans': [[235, 285]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
ToC,part of,retrieval,"{'spans': [[235, 285]], 'source': '4f8fa0d888ad4c20ba3b18d3585c383a'}"
natural language processing,subclass of,cognitive abilities,"{'spans': [[0, 50]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
natural language processing,instance of,cognitive abilities,"{'spans': [[0, 50]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
Prompt-RAG,use,LLM,"{'spans': [[41, 91], [47, 97]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
Prompt-RAG,use,LLMs,"{'spans': [[41, 91]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
Prompt-RAG,instance of,LLM,"{'spans': [[41, 91]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
terminologies,subclass of,concepts,"{'spans': [[82, 132]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
terminologies,part of,concepts,"{'spans': [[82, 132]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
terminologies,different from,concepts,"{'spans': [[82, 132]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
search query,part of,internet,"{'spans': [[123, 173]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
natural language prompts,facet of,natural language,"{'spans': [[123, 173]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
natural language prompts,use,GPT,"{'spans': [[123, 173]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
GPT,use,retrieval,"{'spans': [[164, 214]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
Prompt-RAG,use,GPT,"{'spans': [[164, 214]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
Prompt-RAG,uses,GPT,"{'spans': [[164, 214]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
model,has part,data,"{'spans': [[205, 255]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
model,subclass of,data,"{'spans': [[205, 255]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
dynamic environments,has part,data,"{'spans': [[205, 255]], 'source': 'ef1334ac905b428982ab9f412c5b8652'}"
Prompt-RAG,use,generative,"{'spans': [[0, 50]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
ToC,subclass of,document,"{'spans': [[0, 50]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
Prompt-RAG,instance of,generative,"{'spans': [[0, 50]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
heading selection,part of,Application Programming Interface,"{'spans': [[41, 91]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
heading selection,facet of,Application Programming Interface,"{'spans': [[41, 91]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
heading selection,part of,Application Programming Interface (API),"{'spans': [[41, 91]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
model compression,facet of,artificial intelligence,"{'spans': [[82, 132]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
artificial intelligence,subclass of,technologies,"{'spans': [[82, 132]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
artificial intelligence,instance of,technologies,"{'spans': [[82, 132]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
natural language processing,instance of,domains,"{'spans': [[123, 173]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
natural language processing,instance of,domain,"{'spans': [[123, 173]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
domains,facet of,natural language processing,"{'spans': [[123, 173]], 'source': '3b482e0e80fe4e48b793e9a2e8f29175'}"
LLM,use,vector embedding RAG,"{'spans': [[0, 50]], 'source': 'e2e9547ea7874766a662566b8ffa3ef1'}"
Prompt-RAG,use,chatbot,"{'spans': [[47, 97]], 'source': 'e2e9547ea7874766a662566b8ffa3ef1'}"
RAG,facet of,information retrieval,"{'spans': [[94, 144]], 'source': 'e2e9547ea7874766a662566b8ffa3ef1'}"
RAG,subclass of,information retrieval,"{'spans': [[94, 144]], 'source': 'e2e9547ea7874766a662566b8ffa3ef1'}"
RAG,use,information retrieval,"{'spans': [[94, 144]], 'source': 'e2e9547ea7874766a662566b8ffa3ef1'}"
Lewis P,field of work,nlp,"{'spans': [[0, 50]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Perez E,field of work,nlp,"{'spans': [[0, 50]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Piktus A,field of work,nlp,"{'spans': [[0, 50]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Lewis P,student,Piktus A,"{'spans': [[0, 50]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Piktus A,student of,Lewis P,"{'spans': [[0, 50]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Advances in Neural Information Processing Systems,publisher,arXiv,"{'spans': [[46, 96]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Robust to Irrelevant,publisher,arXiv,"{'spans': [[46, 96]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Robust to Irrelevant,published in,arXiv,"{'spans': [[46, 96]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Irrelevant Context,instance of,language model,"{'spans': [[92, 142]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
retrieval,subclass of,language model,"{'spans': [[92, 142]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
arXiv,main subject,language model,"{'spans': [[92, 142]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
"Yunianto I, Perman",field of work,language models,"{'spans': [[184, 234]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
12th International Conference on Information Technology and Electrical Engineering,point in time,2020,"{'spans': [[230, 280]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Domain-Specific Contextualized Embedding,editor,Permanasari AE,"{'spans': [[230, 280]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Domain-Specific Contextualized Embedding,editor,Widyawan W,"{'spans': [[230, 280]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Domain-Specific Contextualized Embedding,author,Permanasari AE,"{'spans': [[230, 280]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Domain-Specific Contextualized Embedding,author,Widyawan W,"{'spans': [[230, 280]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
TCM-GPT,publication date,2020,"{'spans': [[276, 326]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
TCM-GPT,main subject,Traditional Chinese Medicine,"{'spans': [[276, 326]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
TCM-GPT,facet of,Traditional Chinese Medicine,"{'spans': [[276, 326]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Am I a Resource,published in,arXiv,"{'spans': [[322, 372]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Trans Asian Low-Resour Lang Inf Process,use,NLP,"{'spans': [[368, 418]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Trans Asian Low-Resour Lang Inf Process,subclass of,NLP,"{'spans': [[368, 418]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
ACM Trans Asian Low-Resour Lang Inf Process,field of work,NLP,"{'spans': [[368, 418]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Efficient Fine-Tuning,instance of,language model,"{'spans': [[414, 464], [44, 94]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
arXiv,has part,Proceedings of,"{'spans': [[414, 464]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
Proceedings of,part of,arXiv,"{'spans': [[414, 464]], 'source': 'ca11339e5b3f4c10995cc6ec12248267'}"
2023;124:106586:106586.,publisher,arXiv,"{'spans': [[0, 50]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
2023;124:106586:106586,publisher,arXiv,"{'spans': [[0, 50]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Nature Machine Intelligence,main subject,language model,"{'spans': [[44, 94]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Efficient Fine-Tuning,subclass of,language model,"{'spans': [[44, 94]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Introduction to the History and Current Status of Evidence-Based Korean Medicine,publication date,2007,"{'spans': [[88, 138]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Introduction to the History and Current Status of Evidence-Based Korean Medicine: A Unique Integrated System of All All,publication date,2007,"{'spans': [[88, 138]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Evidence-Based Complementary and Alternative Medicine,publisher,arXiv,"{'spans': [[132, 182]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Unique Integrated System of Allopathic and Holistic Medicine,publication date,2014,"{'spans': [[132, 182]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Evidence-Based Complementary and Alternative Medicine,publication date,2014,"{'spans': [[132, 182]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Scientific Reports,number of articles,19,"{'spans': [[176, 226]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Scientific Reports,main subject,USMLE soft skill assessments,"{'spans': [[176, 226]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
GPT-4,instance of,soft skill assessments,"{'spans': [[176, 226]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
GPT-4V,part of,USMLE,"{'spans': [[220, 270]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
GPT-4V,part of,USMLE with Image,"{'spans': [[220, 270]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
GPT-4V,use,USMLE with Image,"{'spans': [[220, 270]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Licensing Examination for Korean Medicine Doctors,published in,medRxiv,"{'spans': [[264, 314]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
23297629,published in,medRxiv,"{'spans': [[264, 314]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
PLOS Digital Health,part of,medRxiv,"{'spans': [[264, 314]], 'source': '1e5af874cf854f35be4067573d4a15f9'}"
Retrieval augmentation,facet of,hallucination,"{'spans': [[0, 50], [138, 188]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Retrieval augmentation reduces hallucination,use,Retrieval,"{'spans': [[0, 50]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Retrieval augmentation reduces hallucination,subclass of,Retrieval augmentation,"{'spans': [[0, 50]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Anwar S,has part,Anwar S,"{'spans': [[44, 94]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Making Retrieval-Augmented Language Models,author,Naveed H,"{'spans': [[44, 94]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Anwar S,part of,Anwar S,"{'spans': [[44, 94]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Few-shot learning,uses,Few-shot learning,"{'spans': [[88, 138]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Few-shot learning,part of,Few-shot learning,"{'spans': [[88, 138]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Few-shot learning,developer,Zhou R,"{'spans': [[88, 138]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
retrieval-augmented,subclass of,retrieval,"{'spans': [[132, 182]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Retrieving multimodal information,subclass of,retrieval-augmented,"{'spans': [[132, 182]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
retrieval-augmented,use,retrieval,"{'spans': [[132, 182]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
arXiv,part of,PubMed,"{'spans': [[176, 226], [258, 308], [368, 418]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
PubMed,has part,arXiv,"{'spans': [[176, 226]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
Gao Y,field of work,retrieval-augmented text generation,"{'spans': [[176, 226]], 'source': 'acf248700030469b9a0694ffb74603e1'}"
An International Journal,publisher,Royal Society of London,"{'spans': [[0, 50], [150, 200]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
An International Journal,publication date,1895,"{'spans': [[0, 50]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
An International Journal,inception,1895,"{'spans': [[0, 50]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Encyclopedia of Systems Biology,place of publication,"New York, NY","{'spans': [[45, 95]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Nature Methods,place of publication,"New York, NY","{'spans': [[45, 95]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Encyclopedia of Systems Biology,place of publication,New York,"{'spans': [[45, 95]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Springer New York,location of formation,"York, NY","{'spans': [[90, 140]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Springer New York,headquarters location,"York, NY","{'spans': [[90, 140]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Springer New York,location,"York, NY","{'spans': [[90, 140]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",publication date,31,"{'spans': [[135, 185]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Haleem A,field of work,ChatGPT,"{'spans': [[135, 185]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
ChatGPT,developer,BenchCouncil,"{'spans': [[135, 185]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
MMR,instance of,diversity-based reranking,"{'spans': [[180, 230]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
MMR,subclass of,diversity-based reranking,"{'spans': [[180, 230]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
MMR,use,diversity-based reranking,"{'spans': [[180, 230]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Melbourne,country,Australia,"{'spans': [[225, 275]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
ACM SIGIR,parent organization,Association for Computing Machinery,"{'spans': [[225, 275]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Association for Computing Machinery,subsidiary,ACM SIGIR,"{'spans': [[225, 275]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
Association for Computing Machinery,country,Australia,"{'spans': [[225, 275]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
"Answering over Long, Structured Documents",published in,arXiv,"{'spans': [[270, 320]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
"Answering over Long, Structured Documents",publisher,arXiv,"{'spans': [[270, 320]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
9th Python in Science Conference,point in time,2010,"{'spans': [[315, 365]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
9th Python in Science Conference,publication date,2010,"{'spans': [[315, 365]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
GPT Perdetry Test,developer,Association for Computational Linguistics,"{'spans': [[360, 410]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
GPT Perdetry Test,publisher,Association for Computational Linguistics,"{'spans': [[360, 410]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
GPT Perdetry Test,author,Association for Computational Linguistics,"{'spans': [[360, 410]], 'source': '58575c95a89e4da38e89ba146ec66d84'}"
arXiv preprint,part of,Online,"{'spans': [[0, 50]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
arXiv preprint,part of,Online:,"{'spans': [[0, 50]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
arXiv,has part,Online: Association for Computational Linguistics,"{'spans': [[0, 50]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Online: Association for Computational Linguistics,part of,arXiv,"{'spans': [[0, 50]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Pattern Recognition Letters,publisher,arXiv,"{'spans': [[44, 94]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,editor,Celard P,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,editor,Iglesias EL,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,editor,Sorribes-Fdez JM,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,editor,Romero R,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,editor,Vieira AS,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,editor,Borrajo L,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,author,Celard P,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,author,Iglesias EL,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,author,Sorribes-Fdez JM,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,author,Romero R,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,author,Vieira AS,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Recognition Letters,author,Borrajo L,"{'spans': [[88, 138]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Information Processing & Management,publisher,Springer International Publishing,"{'spans': [[132, 182]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Improving Short Query Representation in LDA Based Information Retrieval Systems,publisher,Springer International Publishing,"{'spans': [[132, 182]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Improving Short Query Representation in LDA Based Information Retrieval Systems2022,publisher,Springer International Publishing,"{'spans': [[132, 182]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
ChatGPT,use,psychiatry,"{'spans': [[176, 226]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
ChatGPT,facet of,psychiatry,"{'spans': [[176, 226]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
ChatGPT,part of,psychiatry,"{'spans': [[176, 226]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
psychiatry,has part,Clinical Neurosciences,"{'spans': [[220, 270]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Clinical Neurosciences,part of,psychiatry,"{'spans': [[220, 270]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Psychiatry and Clinical Neurosciences,main subject,psychiatry,"{'spans': [[220, 270]], 'source': '8eae3965e5fb44ca894c9833760a4a9a'}"
Encyclopedia of Systems Biology,publisher,Springer New York,"{'spans': [[50, 100], [200, 250]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Encyclopedia of Systems Biology,publication date,2013,"{'spans': [[50, 100], [200, 250]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Nature Methods,programming language,Python,"{'spans': [[50, 100]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Bonferroni Correction,main subject,large language models,"{'spans': [[100, 150]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
large language models,author,Wolkenhauer O,"{'spans': [[100, 150]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
large language model,author,Wolkenhauer O,"{'spans': [[100, 150]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
An International Journal,publication date,2016,"{'spans': [[150, 200]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
An International Journal,publisher,arXiv,"{'spans': [[150, 200]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
GitHub repository,operator,GitHub,"{'spans': [[250, 300]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
GitHub repository,developer,GitHub,"{'spans': [[250, 300]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
GitHub repository,owned by,GitHub,"{'spans': [[250, 300]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Costanzo LS,field of work,Physiology,"{'spans': [[300, 350]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Costanzo,field of work,Physiology,"{'spans': [[300, 350]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Costanzo LS.,field of work,Physiology,"{'spans': [[300, 350]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Elsevier,location of formation,"Philadelphia, PA","{'spans': [[350, 400]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Elsevier,location of formation,Philadelphia,"{'spans': [[350, 400]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Saad-Falcon J,employer,OpenAI,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Saad-Falcon J,notable work,Inheritance in the Case of Two Parents,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Barrow J,notable work,Inheritance in the Case of Two Parents,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Inheritance in the Case of Two Parents,author,Saad-Falcon J,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Inheritance in the Case of Two Parents,author,Barrow J,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Saad-Falcon J,part of,Barrow J,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Barrow J,has part,Saad-Falcon J,"{'spans': [[400, 450]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
PDFTriage,programming language,Python,"{'spans': [[450, 500]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Statsmodels,programming language,Python,"{'spans': [[450, 500], [0, 50]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Python,use,Econometric,"{'spans': [[450, 500]], 'source': '16b069edd01349dc8961ae55a5a87a51'}"
Statistical Modeling,part of,Econometric,"{'spans': [[0, 50]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Seabold S,programming language,Python,"{'spans': [[0, 50]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Deepak,language of work or name,Sanskrit,"{'spans': [[44, 94]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Deepak,author,Deepak,"{'spans': [[44, 94]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Holyoak KJ,student,Deepak HK,"{'spans': [[44, 94]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Query expansion techniques for information retrieval,subclass of,query expansion,"{'spans': [[88, 138]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Query expansion techniques for information retrieval,uses,query expansion,"{'spans': [[88, 138]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Query expansion techniques for information retrieval,use,query expansion,"{'spans': [[88, 138]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
IEEE Consumer Electronics Magazine,publication date,2023,"{'spans': [[132, 182]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
IEEE Consumer Electronics Magazine,main subject,survey,"{'spans': [[132, 182]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Accelerator for Real-Time Object Detection on Edge Devices,publisher,IEEE Consumer Electronics Magazine,"{'spans': [[132, 182]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
AAAI Conference on Artificial Intelligence,point in time,2021,"{'spans': [[176, 226]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
